,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1,LAL,LAL vs. CLE,03/26/2021,W,240,100,38,78,48.7,6,26,23.1,18,25,72.0,9,36,45,23,15,3,23,23,14
2,CLE,CLE @ LAL,03/26/2021,L,240,86,31,80,38.8,5,26,19.2,19,28,67.9,10,27,37,24,11,4,21,19,-14
3,GSW,GSW vs. ATL,03/26/2021,L,240,108,39,78,50.0,12,28,42.9,18,26,69.2,5,28,33,29,7,4,14,22,-16
4,ATL,ATL @ GSW,03/26/2021,W,240,124,46,84,54.8,13,33,39.4,19,24,79.2,8,37,45,31,6,4,10,23,16
5,MEM,MEM @ UTA,03/26/2021,L,240,114,44,97,45.4,12,30,40.0,14,18,77.8,12,36,48,27,3,2,7,14,-3
6,UTA,UTA vs. MEM,03/26/2021,W,240,117,45,98,45.9,12,33,36.4,15,18,83.3,14,37,51,25,5,4,7,15,3
7,IND,IND @ DAL,03/26/2021,W,240,109,38,87,43.7,20,47,42.6,13,18,72.2,13,36,49,26,9,10,12,17,15
8,DAL,DAL vs. IND,03/26/2021,L,240,94,39,95,41.1,8,35,22.9,8,14,57.1,15,36,51,17,4,4,16,18,-15
9,MIA,MIA @ CHA,03/26/2021,L,240,105,40,87,46.0,15,43,34.9,10,20,50.0,9,30,39,28,9,3,10,17,-5
10,CHA,CHA vs. MIA,03/26/2021,W,240,110,39,79,49.4,18,43,41.9,14,19,73.7,6,36,42,30,6,7,16,16,5
11,POR,POR @ ORL,03/26/2021,W,240,112,40,85,47.1,18,40,45.0,14,21,66.7,10,36,46,21,7,9,16,18,7
12,ORL,ORL vs. POR,03/26/2021,L,240,105,42,95,44.2,12,27,44.4,9,17,52.9,11,29,40,29,7,5,12,18,-7
13,HOU,HOU @ MIN,03/26/2021,L,240,101,37,87,42.5,17,44,38.6,10,13,76.9,7,40,47,26,5,9,21,20,-6
14,MIN,MIN vs. HOU,03/26/2021,W,240,107,39,103,37.9,10,38,26.3,19,24,79.2,14,36,50,30,12,3,9,13,6
15,NOP,NOP vs. DEN,03/26/2021,L,240,108,39,78,50.0,12,29,41.4,18,20,90.0,6,31,37,30,7,7,15,11,-5
16,DEN,DEN @ NOP,03/26/2021,W,240,113,47,93,50.5,14,28,50.0,5,7,71.4,11,25,36,28,7,7,8,16,5
17,MIL,MIL vs. BOS,03/26/2021,L,240,114,44,99,44.4,19,47,40.4,7,11,63.6,16,33,49,24,7,3,16,16,-8
18,BOS,BOS @ MIL,03/26/2021,W,240,122,43,88,48.9,22,47,46.8,14,16,87.5,8,36,44,27,10,8,15,16,8
19,BKN,BKN @ DET,03/26/2021,W,240,113,37,84,44.0,13,33,39.4,26,34,76.5,16,33,49,19,3,4,10,27,2
20,DET,DET vs. BKN,03/26/2021,L,240,111,33,73,45.2,11,31,35.5,34,47,72.3,7,29,36,19,6,4,11,30,-2
21,PHX,PHX @ TOR,03/26/2021,W,240,104,43,90,47.8,9,36,25.0,9,9,100,9,38,47,26,4,3,13,16,4
22,TOR,TOR vs. PHX,03/26/2021,L,240,100,37,90,41.1,12,45,26.7,14,16,87.5,7,31,38,20,5,4,12,17,-4
23,SAS,SAS vs. LAC,03/25/2021,L,240,85,33,82,40.2,8,23,34.8,11,13,84.6,2,37,39,16,4,6,7,14,-13
24,LAC,LAC @ SAS,03/25/2021,W,240,98,34,89,38.2,13,34,38.2,17,18,94.4,14,43,57,16,6,5,10,13,13
25,NYK,NYK vs. WAS,03/25/2021,W,240,106,34,93,36.6,7,28,25.0,31,42,73.8,18,37,55,14,12,4,15,28,4
26,WAS,WAS @ NYK,03/25/2021,L,240,102,37,80,46.3,8,26,30.8,20,33,60.6,8,38,46,26,8,9,17,32,-4
27,POR,POR @ MIA,03/25/2021,W,240,125,44,92,47.8,20,46,43.5,17,19,89.5,10,30,40,24,3,7,11,14,3
28,MIA,MIA vs. POR,03/25/2021,L,240,122,47,84,56.0,16,34,47.1,12,13,92.3,5,34,39,34,3,7,11,18,-3
29,LAL,LAL vs. PHI,03/25/2021,L,240,101,34,78,43.6,9,26,34.6,24,33,72.7,7,35,42,22,10,0,22,19,-8
30,PHI,PHI @ LAL,03/25/2021,W,240,109,39,80,48.8,17,45,37.8,14,21,66.7,7,32,39,24,13,9,21,26,8
31,GSW,GSW @ SAC,03/25/2021,L,240,119,45,88,51.1,17,32,53.1,12,12,100,7,31,38,24,4,0,12,19,-22
32,SAC,SAC vs. GSW,03/25/2021,W,240,141,53,89,59.6,19,38,50.0,16,19,84.2,5,33,38,28,6,4,6,13,22
33,ORL,ORL vs. PHX,03/24/2021,W,240,112,42,90,46.7,13,37,35.1,15,19,78.9,9,40,49,18,3,5,11,18,1
34,PHX,PHX @ ORL,03/24/2021,L,240,111,40,90,44.4,11,33,33.3,20,22,90.9,10,37,47,22,9,3,9,15,-1
35,CLE,CLE @ CHI,03/24/2021,W,240,103,42,92,45.7,11,29,37.9,8,10,80.0,12,34,46,28,8,7,11,16,9
36,CHI,CHI vs. CLE,03/24/2021,L,240,94,37,83,44.6,8,28,28.6,12,14,85.7,10,35,45,21,6,4,15,12,-9
37,BOS,BOS @ MIL,03/24/2021,L,240,119,45,94,47.9,19,47,40.4,10,10,100,9,29,38,24,9,6,13,15,-2
38,MIL,MIL vs. BOS,03/24/2021,W,240,121,45,90,50.0,17,37,45.9,14,20,70.0,13,33,46,19,8,5,16,14,2
39,MIN,MIN vs. DAL,03/24/2021,L,240,108,38,86,44.2,12,38,31.6,20,26,76.9,6,31,37,24,6,2,12,25,-20
40,DAL,DAL @ MIN,03/24/2021,W,240,128,48,99,48.5,16,44,36.4,16,22,72.7,14,39,53,27,5,6,10,22,20
41,MEM,MEM @ OKC,03/24/2021,W,240,116,47,99,47.5,11,30,36.7,11,13,84.6,14,42,56,19,12,10,18,10,9
42,OKC,OKC vs. MEM,03/24/2021,L,240,107,43,95,45.3,10,35,28.6,11,17,64.7,9,35,44,26,13,8,15,10,-9
43,DEN,DEN @ TOR,03/24/2021,L,240,111,41,98,41.8,14,43,32.6,15,18,83.3,17,29,46,25,5,2,12,19,-24
44,TOR,TOR vs. DEN,03/24/2021,W,240,135,45,89,50.6,24,48,50.0,21,23,91.3,9,36,45,31,3,6,10,21,24
