,Team,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Team_2,MIN_2,PTS_2,FGM_2,FGA_2,FG%_2,3PM_2,3PA_2,3P%_2,FTM_2,FTA_2,FT%_2,OREB_2,DREB_2,REB_2,AST_2,STL_2,BLK_2,TOV_2,PF_2,+/-_2,Total_pts,home,visitor,Open,Close,Open_2,Close_2,over_under,totals,kappa_1,kappa_2,kappa_3,k_1_under,k_1_over,k_2_under,k_2_over,k_3_under,k_3_over
0,LAC,240.0,113.86,41.71,88.14,47.36,14.57,36.43,39.87,15.86,18.43,83.54,9.43,32.43,41.86,24.14,8.57,3.0,11.86,20.14,2.86,ATL,240.0,113.0,40.29,85.86,47.04,14.43,36.57,39.21,18.0,21.57,85.39,10.57,36.0,46.57,24.57,7.43,6.57,12.86,20.57,11.0,229,LAC,ATL,226,225,6.5,6.5,226,226.0,4.131649717907144,6.197474576860716,8.263299435814288,222.0,230.0,220.0,232.0,218.0,234.0
1,IND,243.57,113.14,42.29,89.43,47.46,13.71,36.86,37.43,14.86,18.71,78.29,9.43,32.43,41.86,28.0,8.71,6.29,15.29,20.29,0.29,MIL,243.57,118.57,43.57,92.43,47.2,12.86,37.43,34.47,18.57,22.29,84.79,9.86,39.43,49.29,25.71,7.86,4.29,15.43,16.57,4.43,253,MIL,IND,232,232.5,10,6.5,232,232.0,4.131649717907144,6.197474576860716,8.263299435814288,228.0,236.0,226.0,238.0,224.0,240.0
2,HOU,240.0,103.43,38.57,91.0,42.74,11.29,38.43,29.47,15.0,22.43,69.23,10.29,31.43,41.71,21.57,7.57,4.71,13.57,18.71,-14.71,TOR,240.0,110.43,38.86,91.0,42.81,16.14,44.0,36.79,16.57,20.86,79.86,9.0,28.29,37.29,26.29,8.29,4.43,12.86,24.0,-8.43,216,HOU,TOR,8.5,8.5,223.5,225.5,8.5,223.5,4.131649717907144,6.197474576860716,8.263299435814288,219.0,228.0,217.0,230.0,215.0,232.0
3,BOS,240.0,114.57,43.43,88.86,49.17,14.14,37.0,38.17,13.57,18.86,76.07,11.43,32.57,44.0,24.57,8.0,5.86,13.29,20.14,1.71,MEM,240.0,107.57,40.14,89.86,44.56,8.86,28.0,32.03,18.43,24.14,78.74,10.43,37.0,47.43,24.43,8.14,4.14,13.43,19.29,-2.29,258,MEM,BOS,221.5,218.5,1,4.5,221.5,221.5,4.131649717907144,6.197474576860716,8.263299435814288,217.0,226.0,215.0,228.0,213.0,230.0
4,UTA,243.57,119.14,40.86,89.29,45.84,16.71,42.71,38.99,20.71,26.29,78.73,11.0,35.57,46.57,22.71,7.71,5.43,15.14,20.0,-1.14,CHI,243.57,108.86,41.29,89.57,46.14,13.57,34.71,40.04,12.71,15.71,83.87,11.14,36.71,47.86,27.43,6.0,4.71,16.43,19.43,2.0,215,CHI,UTA,8.5,9.5,231,227.5,8.5,231.0,4.131649717907144,6.197474576860716,8.263299435814288,227.0,235.0,225.0,237.0,223.0,239.0
5,CHA,240.0,111.86,39.86,86.57,45.89,14.0,36.57,37.99,18.14,23.57,76.76,10.14,34.43,44.57,27.86,9.0,4.57,16.0,17.71,-1.57,SAS,240.0,107.29,40.86,87.57,46.7,9.29,26.43,35.07,16.29,21.0,76.73,9.71,31.71,41.43,22.57,6.43,5.71,11.71,16.29,-0.43,197,SAS,CHA,225.5,223.5,5.5,5,225.5,225.5,4.131649717907144,6.197474576860716,8.263299435814288,221.0,230.0,219.0,232.0,217.0,234.0
6,MIN,240.0,116.71,42.57,87.43,48.73,12.29,35.43,34.8,19.29,25.57,76.93,9.57,32.57,42.14,24.57,9.14,5.57,15.29,20.0,-4.14,OKC,240.0,108.14,39.29,85.57,46.33,12.14,32.57,37.59,17.43,22.14,78.89,11.57,34.0,45.57,21.29,6.14,4.57,16.29,18.14,-6.43,215,MIN,OKC,226.5,230.5,2,5,226.5,226.5,4.131649717907144,6.197474576860716,8.263299435814288,222.0,231.0,220.0,233.0,218.0,235.0
7,CLE,240.0,102.29,37.29,82.57,45.43,10.0,29.71,33.91,17.71,23.57,75.26,10.57,31.29,41.86,22.14,7.0,4.57,16.43,18.57,-8.29,SAC,240.0,114.14,43.14,91.14,47.41,10.0,31.43,32.23,17.86,23.57,74.41,10.43,34.0,44.43,25.71,6.57,4.29,11.29,20.86,-2.29,224,CLE,SAC,4.5,4.5,225,224,4.5,225.0,4.131649717907144,6.197474576860716,8.263299435814288,221.0,229.0,219.0,231.0,217.0,233.0
8,POR,240.0,118.86,40.29,87.57,46.11,16.71,42.71,39.0,21.57,24.0,89.34,10.14,30.29,40.43,20.29,6.71,4.71,10.86,18.86,2.14,DAL,240.0,107.0,39.29,81.86,48.03,15.0,39.57,38.07,13.43,16.71,82.27,7.43,36.0,43.43,22.29,5.57,4.43,12.71,17.29,3.57,224,POR,DAL,2.5,2,230.5,227,2.5,230.5,4.131649717907144,6.197474576860716,8.263299435814288,226.0,235.0,224.0,237.0,222.0,239.0
9,LAL,240.0,114.86,42.86,83.71,51.16,10.71,28.29,38.07,18.43,23.86,76.64,9.57,34.43,44.0,25.57,6.86,4.43,14.14,19.71,6.43,PHX,240.0,118.0,44.86,85.86,52.31,13.43,29.57,45.96,14.86,18.29,80.67,7.43,34.57,42.0,29.0,7.0,4.0,16.29,19.57,8.29,205,PHX,LAL,216,217,3,10,216,216.0,4.131649717907144,6.197474576860716,8.263299435814288,212.0,220.0,210.0,222.0,208.0,224.0
10,PHI,247.14,121.71,47.71,95.57,50.13,11.43,29.14,40.39,14.86,19.29,75.16,11.14,40.14,51.29,25.57,9.86,6.57,13.29,20.86,16.29,NYK,240.0,104.14,38.57,86.29,44.71,12.57,33.57,37.19,14.43,19.57,72.31,9.86,33.0,42.86,20.57,7.0,3.86,12.0,18.14,-4.86,201,NYK,PHI,3.5,1,215,211.5,3.5,215.0,4.131649717907144,6.197474576860716,8.263299435814288,211.0,219.0,209.0,221.0,207.0,223.0
11,CLE,240.0,100.14,36.86,82.0,45.24,9.0,29.29,31.31,17.43,23.0,75.86,10.43,30.57,41.0,21.29,6.86,4.86,15.57,18.43,-8.29,TOR,240.0,110.43,38.43,88.43,43.57,15.71,42.57,36.89,17.86,22.43,79.73,8.71,28.14,36.86,26.0,7.29,4.71,12.86,23.14,-10.29,221,CLE,TOR,7,7,217,216.5,217,217.0,4.131649717907144,6.197474576860716,8.263299435814288,213.0,221.0,211.0,223.0,209.0,225.0
12,DET,240.0,108.29,39.29,84.0,46.83,12.86,34.0,37.57,16.86,22.14,75.47,10.57,33.86,44.43,26.86,8.14,4.71,14.0,19.14,1.86,CHI,243.57,112.86,42.86,91.57,46.83,13.29,34.71,39.03,13.86,16.86,84.61,11.71,35.14,46.86,27.71,5.71,4.71,15.71,19.29,0.57,186,DET,CHI,2,3.5,218.5,217,218.5,218.5,4.131649717907144,6.197474576860716,8.263299435814288,214.0,223.0,212.0,225.0,210.0,227.0
13,BKN,243.57,118.71,43.71,86.71,50.66,12.86,34.0,37.03,18.43,24.29,75.79,9.43,35.43,44.86,26.57,6.29,4.57,12.57,18.57,7.43,WAS,240.0,117.57,42.57,89.43,47.74,10.14,29.14,34.47,22.29,29.0,76.63,6.86,33.29,40.14,24.14,8.0,2.57,13.29,22.29,-7.0,219,BKN,WAS,245,249,8.5,9,245,245.0,4.131649717907144,6.197474576860716,8.263299435814288,241.0,249.0,239.0,251.0,237.0,253.0
14,ORL,240.0,103.86,37.43,85.14,43.89,14.57,37.43,38.49,14.43,17.86,79.4,9.29,37.57,46.86,22.86,4.86,3.14,14.71,16.86,-6.0,BOS,240.0,115.29,43.71,88.57,49.64,13.14,33.71,39.34,14.71,20.86,72.34,12.43,31.29,43.71,24.29,8.0,6.0,13.14,18.86,0.14,208,BOS,ORL,216.5,215.5,9,9,216.5,216.5,4.131649717907144,6.197474576860716,8.263299435814288,212.0,221.0,210.0,223.0,208.0,225.0
15,DEN,243.57,118.29,45.86,90.29,50.97,13.86,34.57,40.7,12.71,16.57,76.66,10.0,35.43,45.43,29.57,8.57,3.86,12.86,17.14,10.43,NOP,240.0,112.86,43.0,88.57,48.81,9.57,31.0,31.2,17.29,23.86,73.69,12.0,34.43,46.43,30.0,6.57,4.43,15.0,19.29,0.14,221,DEN,NOP,233.5,230,6,6.5,233.5,233.5,4.131649717907144,6.197474576860716,8.263299435814288,229.0,238.0,227.0,240.0,225.0,242.0
16,OKC,240.0,103.0,37.43,85.0,44.49,11.57,32.57,36.13,16.57,21.0,78.41,10.0,34.57,44.57,20.0,5.86,4.86,15.57,18.0,-8.0,HOU,240.0,103.71,38.43,92.71,41.66,11.86,39.14,30.2,15.0,22.57,68.84,10.86,30.71,41.57,21.86,8.0,4.86,12.57,18.43,-17.0,226,HOU,OKC,216.5,218.5,1.5,5,216.5,216.5,4.131649717907144,6.197474576860716,8.263299435814288,212.0,221.0,210.0,223.0,208.0,225.0
17,IND,240.0,113.86,43.57,87.29,50.0,12.71,34.0,37.24,14.0,18.14,76.14,8.14,30.43,38.57,28.0,10.14,6.0,15.14,19.43,0.29,MIA,240.0,103.57,38.0,85.57,44.61,11.29,37.0,30.76,16.29,20.14,81.3,8.43,35.0,43.43,25.29,9.29,4.29,11.43,17.43,2.57,215,MIA,IND,217,218.5,4.5,3.5,217,217.0,4.131649717907144,6.197474576860716,8.263299435814288,213.0,221.0,211.0,223.0,209.0,225.0
18,IND,240.0,113.86,43.57,87.29,50.0,12.71,34.0,37.24,14.0,18.14,76.14,8.14,30.43,38.57,28.0,10.14,6.0,15.14,19.43,0.29,MIA,240.0,103.57,38.0,85.57,44.61,11.29,37.0,30.76,16.29,20.14,81.3,8.43,35.0,43.43,25.29,9.29,4.29,11.43,17.43,2.57,215,MIA,IND,207,208.5,3,5.5,207,207.0,4.131649717907144,6.197474576860716,8.263299435814288,203.0,211.0,201.0,213.0,199.0,215.0
19,LAC,240.0,110.29,41.0,89.71,45.77,14.86,37.86,39.37,13.43,16.14,81.5,10.0,32.86,42.86,23.29,8.29,3.29,11.86,19.29,-1.71,CHA,240.0,113.71,41.57,87.71,47.33,14.0,35.57,39.06,16.57,22.0,74.44,9.86,34.43,44.29,27.86,10.0,4.71,16.29,17.14,0.57,223,LAC,CHA,233.5,231.5,10.5,9.5,233.5,233.5,4.131649717907144,6.197474576860716,8.263299435814288,229.0,238.0,227.0,240.0,225.0,242.0
20,SAS,240.0,105.71,40.0,86.0,46.59,9.0,26.14,34.49,16.71,21.29,78.16,9.86,32.29,42.14,21.71,6.86,5.86,13.14,18.14,-0.14,MIL,243.57,116.43,42.57,91.43,46.6,12.57,37.43,33.73,18.71,22.86,83.13,10.14,39.0,49.14,25.29,8.14,4.57,15.57,16.57,4.14,233,MIL,SAS,228,229.5,9.5,11.5,228,228.0,4.131649717907144,6.197474576860716,8.263299435814288,224.0,232.0,222.0,234.0,220.0,236.0
21,PHI,247.14,121.86,48.0,95.86,50.27,12.0,30.86,39.69,13.86,17.43,77.71,10.71,38.71,49.43,26.0,10.29,7.0,14.43,20.43,15.14,SAC,240.0,116.71,44.43,90.43,49.43,10.29,31.0,33.99,17.57,22.43,76.69,10.71,33.29,44.0,26.29,6.71,4.14,12.14,20.57,1.57,234,PHI,SAC,237,228.5,5.5,3.5,237,237.0,4.131649717907144,6.197474576860716,8.263299435814288,233.0,241.0,231.0,243.0,229.0,245.0
22,MEM,240.0,107.57,40.57,90.71,44.66,8.57,28.29,30.91,17.86,23.14,79.99,11.0,35.86,46.86,23.86,8.86,4.57,13.43,19.0,-3.57,GSW,240.0,108.57,40.86,88.86,45.99,13.71,38.14,36.27,13.14,18.43,71.81,8.43,34.29,42.71,27.0,9.14,3.57,15.14,21.29,-6.0,214,MEM,GSW,222.5,220,6,6.5,222.5,222.5,4.131649717907144,6.197474576860716,8.263299435814288,218.0,227.0,216.0,229.0,214.0,231.0
23,LAL,240.0,118.14,43.71,84.29,51.89,11.14,29.0,38.74,19.57,25.86,75.7,9.71,35.43,45.14,26.14,8.0,4.86,14.71,20.43,10.86,ATL,240.0,112.29,39.57,82.0,48.2,14.43,36.43,39.36,18.71,22.43,85.07,9.86,36.43,46.29,24.57,6.29,5.86,15.0,20.14,12.29,193,LAL,ATL,224,219,4.5,3,224,224.0,4.131649717907144,6.197474576860716,8.263299435814288,220.0,228.0,218.0,230.0,216.0,232.0
24,MIN,240.0,116.43,42.29,89.43,47.41,11.57,35.43,32.77,20.29,26.43,78.31,10.29,32.57,42.86,24.43,9.71,5.29,14.71,20.43,-5.14,PHX,240.0,118.71,45.0,86.29,52.23,12.43,29.57,42.24,16.29,19.29,83.43,7.71,35.29,43.0,28.71,6.86,4.57,16.0,19.43,9.29,214,PHX,MIN,231,233,10.5,10.5,231,231.0,4.131649717907144,6.197474576860716,8.263299435814288,227.0,235.0,225.0,237.0,223.0,239.0
25,DAL,240.0,108.57,39.71,83.14,47.73,14.71,40.14,36.9,14.43,18.14,80.89,7.71,36.71,44.43,22.86,5.86,4.71,12.14,16.71,5.29,POR,240.0,116.43,39.14,86.57,45.34,15.57,43.0,36.4,22.57,25.29,88.83,9.43,31.57,41.0,20.0,6.71,5.29,11.43,19.0,1.57,244,POR,DAL,1.5,2.5,233.5,227.5,1.5,233.5,4.131649717907144,6.197474576860716,8.263299435814288,229.0,238.0,227.0,240.0,225.0,242.0
26,DAL,240.0,108.57,39.71,83.14,47.73,14.71,40.14,36.9,14.43,18.14,80.89,7.71,36.71,44.43,22.86,5.86,4.71,12.14,16.71,5.29,POR,240.0,116.43,39.14,86.57,45.34,15.57,43.0,36.4,22.57,25.29,88.83,9.43,31.57,41.0,20.0,6.71,5.29,11.43,19.0,1.57,244,POR,DAL,217.5,217.5,8.5,10,217.5,217.5,4.131649717907144,6.197474576860716,8.263299435814288,213.0,222.0,211.0,224.0,209.0,226.0
27,DEN,240.0,116.43,45.57,89.71,51.0,13.29,33.57,40.1,12.0,15.57,76.97,10.0,36.43,46.43,28.57,7.71,4.29,12.86,16.57,10.71,CHI,240.0,110.71,42.14,92.14,45.76,12.57,35.14,36.6,13.86,16.71,85.06,12.43,34.71,47.14,26.71,5.86,4.86,14.57,19.0,0.29,258,DEN,CHI,229.5,225,6.5,7,229.5,229.5,4.131649717907144,6.197474576860716,8.263299435814288,225.0,234.0,223.0,236.0,221.0,238.0
28,UTA,243.57,120.43,42.43,90.86,46.84,17.43,43.86,39.76,18.14,23.86,76.64,11.14,36.0,47.14,23.86,7.0,5.14,15.0,19.71,0.57,TOR,240.0,111.86,38.43,89.29,43.1,15.0,42.14,35.64,20.0,24.29,82.26,9.86,29.43,39.29,25.71,6.86,5.29,13.14,22.0,-8.29,227,TOR,UTA,5.5,4.5,228,232,5.5,228.0,4.131649717907144,6.197474576860716,8.263299435814288,224.0,232.0,222.0,234.0,220.0,236.0
29,DET,240.0,105.0,38.0,82.14,46.17,12.14,34.43,34.69,16.86,22.57,74.23,9.86,33.29,43.14,25.14,8.29,4.71,14.43,18.86,-2.71,HOU,240.0,102.29,37.29,91.0,41.16,12.0,39.0,30.8,15.71,23.71,67.94,10.43,30.0,40.43,20.71,8.86,4.86,12.43,18.57,-16.71,213,HOU,DET,216,216,3,2,216,216.0,4.131649717907144,6.197474576860716,8.263299435814288,212.0,220.0,210.0,222.0,208.0,224.0
30,MEM,240.0,110.71,41.71,92.29,45.1,9.29,28.71,32.91,18.0,23.43,79.6,11.0,35.57,46.57,24.14,9.57,3.86,12.29,19.57,0.29,GSW,240.0,105.0,39.57,88.14,44.89,12.71,37.14,34.4,13.14,18.57,71.27,7.71,33.86,41.57,26.29,8.71,3.29,16.14,22.57,-11.57,219,MEM,GSW,224,220.5,8.5,6.5,224,224.0,4.131649717907144,6.197474576860716,8.263299435814288,220.0,228.0,218.0,230.0,216.0,232.0
31,IND,240.0,110.57,42.43,87.57,48.57,11.0,33.0,33.24,14.71,18.43,78.61,8.0,28.71,36.71,26.43,10.29,4.86,15.43,19.71,-5.86,MIA,240.0,99.29,36.14,83.14,43.57,11.29,36.86,30.87,15.71,20.43,77.47,7.71,34.29,42.0,24.29,10.14,4.29,11.14,16.86,4.43,247,MIA,IND,215.5,216.5,5,4,215.5,215.5,4.131649717907144,6.197474576860716,8.263299435814288,211.0,220.0,209.0,222.0,207.0,224.0
